CIK,start_date,start_price,six_month_price,three_year_price,return_6m,return_3y,random_predict,lgbm_predict,nn_predict,random_desired_invest,random_actual_invest,random_profit_this_ipo,random_cumulative_profit,random_capital_after_ipo,lgbm_desired_invest,lgbm_actual_invest,lgbm_profit_this_ipo,lgbm_cumulative_profit,lgbm_capital_after_ipo,nn_desired_invest,nn_actual_invest,nn_profit_this_ipo,nn_cumulative_profit,nn_capital_after_ipo,lgbm_prob_6m,lgbm_prob_3y,nn_prob_6m,nn_prob_3y,true_6m,true_3y
1214816,2016-11-01,14.8100,14.8700,18.6200,0.0041,0.2573,6M:1 3Y:1,6M:0 3Y:0,6M:1 3Y:0,200.0000,200.0000,26.1310,4401.2270,104401.2270,0.0000,0.0000,0.0000,26700.3013,126700.3013,100.0000,100.0000,0.4051,23859.4976,123859.4976,0.3193,0.0224,0.5280,0.4476,0,0
1705012,2017-10-23,1.2300,0.7400,0.8500,-0.3984,-0.3089,6M:0 3Y:0,6M:0 3Y:0,6M:1 3Y:0,0.0000,0.0000,0.0000,4401.2270,104401.2270,0.0000,0.0000,0.0000,26700.3013,126700.3013,100.0000,100.0000,-39.8374,23819.6602,123819.6602,0.1323,0.0842,0.5136,0.3486,0,0
1398137,2013-05-22,2.5000,2.0000,0.5000,-0.2000,-0.8000,6M:0 3Y:0,6M:0 3Y:1,6M:1 3Y:0,0.0000,0.0000,0.0000,4401.2270,104401.2270,100.0000,100.0000,-80.0000,26620.3013,126620.3013,100.0000,100.0000,-20.0000,23799.6602,123799.6602,0.3155,0.8432,0.5396,0.4876,0,0
1807046,2021-10-18,100.1800,97.9900,66.7600,-0.0219,-0.3336,6M:1 3Y:0,6M:0 3Y:0,6M:0 3Y:0,100.0000,100.0000,-2.1861,4399.0409,104399.0409,0.0000,0.0000,0.0000,26620.3013,126620.3013,0.0000,0.0000,0.0000,23799.6602,123799.6602,0.3144,0.0018,0.4600,0.1870,0,0
1243429,2010-04-28,10.1100,11.7000,2.6400,0.1573,-0.7389,6M:0 3Y:0,6M:1 3Y:0,6M:1 3Y:0,0.0000,0.0000,0.0000,4399.0409,104399.0409,100.0000,100.0000,15.7270,26636.0283,126636.0283,100.0000,100.0000,15.7270,23815.3872,123815.3872,0.7289,0.2185,0.5286,0.4543,1,0
898174,2012-08-24,16.0300,17.1100,19.8900,0.0674,0.2408,6M:0 3Y:1,6M:1 3Y:0,6M:1 3Y:1,100.0000,100.0000,24.0799,4423.1208,104423.1208,100.0000,100.0000,6.7374,26642.7657,126642.7657,200.0000,200.0000,30.8172,23846.2044,123846.2044,0.8546,0.0340,0.5645,0.5569,1,0
1879851,2023-05-01,10.1500,10.4800,2.2000,0.0325,-0.7833,6M:0 3Y:0,6M:0 3Y:0,6M:0 3Y:0,0.0000,0.0000,0.0000,4423.1208,104423.1208,0.0000,0.0000,0.0000,26642.7657,126642.7657,0.0000,0.0000,0.0000,23846.2044,123846.2044,0.0094,0.0301,0.4544,0.2619,0,0
1609253,2020-10-28,13.8100,20.5400,49.9100,0.4873,2.6140,6M:0 3Y:1,6M:1 3Y:0,6M:1 3Y:1,100.0000,100.0000,261.4048,4684.5256,104684.5256,100.0000,100.0000,48.7328,26691.4985,126691.4985,200.0000,200.0000,310.1376,24156.3420,124156.3420,0.9166,0.4345,0.5129,0.6081,1,1
1511820,2021-11-26,3.0000,3.0000,0.0600,0.0000,-0.9800,6M:0 3Y:1,6M:0 3Y:0,6M:0 3Y:0,100.0000,100.0000,-98.0000,4586.5256,104586.5256,0.0000,0.0000,0.0000,26691.4985,126691.4985,0.0000,0.0000,0.0000,24156.3420,124156.3420,0.0830,0.0106,0.4657,0.2320,0,0
1693256,2017-04-21,13.1400,15.0900,2.8800,0.1484,-0.7808,6M:0 3Y:0,6M:1 3Y:0,6M:1 3Y:1,0.0000,0.0000,0.0000,4586.5256,104586.5256,100.0000,100.0000,14.8402,26706.3386,126706.3386,200.0000,200.0000,-63.2420,24093.1000,124093.1000,0.9149,0.1712,0.5214,0.6113,1,0
1686850,2018-02-14,1314.0000,1704.0000,519.0000,0.2968,-0.6050,6M:0 3Y:0,6M:1 3Y:0,6M:1 3Y:0,0.0000,0.0000,0.0000,4586.5256,104586.5256,100.0000,100.0000,29.6804,26736.0190,126736.0190,100.0000,100.0000,29.6804,24122.7803,124122.7803,0.8698,0.0299,0.5101,0.2638,1,0
